"longitude ","latitude ","activity ","accuracy ","altitude ","velocity ","activity_timestampMs ","activity_confidence ","heading ","verticalAccuracy ","timestampMs ","userID "
21.7373790,38.2457914,STILL,48,,,1475061003285,54,,,1475061003312,1
21.7357857,38.2481698,STILL,27,,,1475061714007,64,,,1475061715036,1
21.7370588,38.2469610,STILL,1399,,,1475062073806,54,,,1475062058047,1
21.7357872,38.2480450,STILL,18,,,1475062193903,92,,,1475062185000,1
21.7358068,38.2480673,STILL,21,,,1475062321802,56,,,1475062309000,1
21.7357775,38.2480423,STILL,8,,,1475062847287,44,,,1475062808074,1
21.7357775,38.2480423,STILL,8,,,1475062968215,72,,,1475062967940,1
21.7357731,38.2480447,STILL,27,,,1475063303625,52,,,1475063292068,1
21.7357820,38.2480462,STILL,20,,,1475063728549,42,,,1475063727923,1
21.7357831,38.2481475,STILL,18,,,1475065280859,90,,,1475065283000,1
21.7357534,38.2481348,STILL,11,,,1475065532098,92,,,1475065531972,1
21.7357534,38.2481348,STILL,11,,,1475065643398,60,,,1475065618985,1
21.7357725,38.2481429,STILL,16,,,1475067060608,37,,,1475067052000,1
21.7358007,38.2481952,STILL,28,,,1475067546868,35,,,1475067587953,1
21.7357915,38.2482133,STILL,27,,,1475067911163,44,,,1475067869007,1
21.7357781,38.2481962,STILL,28,,,1475068092161,85,,,1475068046119,1
21.7357781,38.2481962,STILL,28,,,1475068273077,69,,,1475068273026,1
21.7493405,38.2688607,STILL,51,,,1475069782993,44,,,1475069734083,1
21.7496459,38.2685337,STILL,1618,,,1493481383003,64,,,1493481407531,1
21.7496459,38.2685337,STILL,1618,,,1493481639250,69,,,1493481639388,1
21.7358477,38.2482175,STILL,33,,,1493483589588,85,,,1493483536300,1
21.7358477,38.2482175,STILL,20,,,1493484156934,77,,,1493484160055,1
21.7358477,38.2482175,STILL,20,,,1493484439448,100,,,1493484520120,1
21.7350559,38.2495107,STILL,50,,,1493484698775,68,,,1493484666948,1
21.7350559,38.2495107,STILL,50,,,1493484780882,79,,,1493484780769,1
21.7350559,38.2495107,STILL,50,,,1493484854281,37,,,1493484843944,1
21.7350559,38.2495107,STILL,50,,,1493485045558,46,,,1493485016932,1
21.7350559,38.2495107,STILL,50,,,1493485299054,85,,,1493485238090,1
21.7350559,38.2495107,STILL,50,,,1493485448530,54,,,1493485364832,1
21.7505519,38.2675798,STILL,16,61,,1525246653476,100,,2,1525246626287,1
21.7504113,38.2676185,STILL,16,,,1574144404597,99,,,1574144404494,1
